Resource,Description,URL,Affiliation,Ideation Stage,Startup Stage,Scaling Stage,Business Planning,Research and Product Development,Sales and Marketing,Legal Assistance,Financial Management,Workforce/Networking,Funding,Real Estate
UW-Madison Campus Events Calendar,"Search all university events, including talks and competition events, tagged ""entrepreneurship.""",www.today.wisc.edu,UW-Madison,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Advocacy Consortium for Entrepreneurs,Workshops and talks of interest to campus and community members.,http://www.acemadison.org,UW-Madison,Yes,No,No,No,No,No,No,No,No,No,No
Arts Enterprise,Training and support for artists interested in entrepreneurship.,http://artsenterprise.wisc.edu,UW-Madison,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
Burrill Business Plan Competition,Prepare and present a formal business plan.,http://bit.ly/1gYNsAq,UW-Madison,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No
NEST Software Competition,Develop a new software application.,http://bit.ly/1k0YOCV,UW-Madison,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No
Wisconsin Alumni Research Foundation,"Guidance and support for faculty, staff and students with assessment, patenting and licensing. Also manages an accelerator program.",www.warf.org,UW-Madison,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Madworks Coworking/ Accelerator,"A coworking space for scientists, entrepreneurs, freelances, students, and startups. Instruction, financial support also available.",http://bit.ly/1kIWsxo,UW-Madison,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes
University Research Park,Flexible leases and space in University Research Park or the Metro Innovation Center.,http://bit.ly/1tOZNvI,UW-Madison,No,Yes,Yes,No,No,No,No,No,No,No,Yes
Law and Entrepreneurship Clinic,Start-ups receive advice on legal issues.,http://bit.ly/1mZ5swL,UW-Madison,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Capital Entrepreneurs,An association for Madison-area entrepreneurs who meet regularly.,http://bit.ly/ShwIwF,Community,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
Forward Technology Festival,"Provides a mix of talks, panels, and networking opportunities over 10 days celebrating innovation and entrepreneurship.",http://forwardfest.org,Community,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
gener8tor,A startup accelerator for companies in Madison and Milwaukee.,www.gener8tor.com,Community,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
Sector 67,A collaborative makerspace and incubation facility in Madison.,http://bit.ly/1kJrG7v,Community,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
